source_sheet,raw_name,vessel_name,name_key,type_prefix,length_ft,loa_ft,draft_ft,operator,contacts,notes,flags
Science,M/Y Grey Horizon 46',M/Y Grey Horizon,my grey horizon,M/Y,46,"","","",Cell: 555-0103,"",""
Science,OSV Blue Harbor 40',OSV Blue Harbor,osv blue harbor,OSV,40,"","",Harbor Institute,"","",no_contact
Science,R/V High Drift 120',R/V High Drift,rv high drift,R/V,120,"","",Coastal Survey Partners,Parker Underhill | Cell: 555-0134 | Cell: 555-0173 | rowan.oakes@example.com | Cell: 555-0103 | Cell: 555-0155 | Cell: 555-0198 | Capt. Cameron Underhill | Capt. Drew Garland | Cell: 555-0120 | skyler.sterling@example.com | cameron.kendrick@example.com | Cell: 555-0149 | kai.fairweather@example.com,"",""
Science,R/V Iron Skua 72',R/V Iron Skua,rv iron skua,R/V,72,"","",Harbor Institute,Casey Ellery | Cell: 555-0174 | Cell: 555-0119 | Cell: 555-0124 | drew.ashford@example.com | Cell: 555-0120,"",""
Science,R/V Bright Dory 52',R/V Bright Dory,rv bright dory,R/V,52,"","",Harbor Institute,Avery Ellery | Cell: 555-0184 | Cell: 555-0113,"",""
Science,R/V Wild Marlin 32',R/V Wild Marlin,rv wild marlin,R/V,32,"","",Seaway Education Trust,Cell: 555-0192 | Cell: 555-0144,"",""
Science,M/V High Strand 145',M/V High Strand,mv high strand,M/V,145,"","",Gulf Coast University,Avery Corwin | Cell: 555-0195 | blake.ingram@example.com | Cell: 555-0193 | Jesse Marsh | Cell: 555-0163 | rowan.hollis@example.com,"",""
Science,S/V Wild Drift 24',S/V Wild Drift,sv wild drift,S/V,24,"","",Coastal Survey Partners,Jordan Pembroke | Cell: 555-0144 | Cell: 555-0101 | Capt. Riley Oakes | Cell: 555-0195 | jordan.marsh@example.com | Avery Everly | Cell: 555-0178 | rowan.ransom@example.com | Capt. Hayden Sterling | Cell: 555-0174 | logan.fairweather@example.com | Capt. Rowan Ransom,See scheduling file for specs | Approved by operations,"see_schedule_file,approved"
Science,M/V Northern Ketch 120',M/V Northern Ketch,mv northern ketch,M/V,120,"","",Gulf Coast University,Drew Calloway | Cell: 555-0191 | Cell: 555-0122 | kendall.calloway@example.com,Pending insurance paperwork,insurance_pending
Science,M/V CORAL DRIFT 100',M/V CORAL DRIFT,mv coral drift,M/V,100,"","","",Capt. Alex Bexley | Quinn Quill | Cell: 555-0177 | quinn.bexley@example.com,Short visit only,short_visit
Science,F/V Bright Heron 32',F/V Bright Heron,fv bright heron,F/V,32,"","",Northwind Offshore,"","",no_contact
Science,R/V Green Meridian 32',R/V Green Meridian,rv green meridian,R/V,32,"","","",Taylor Danforth,"",""
Science,Tug Long Skua 170',Tug Long Skua,tug long skua,Tug,170,"","","",Capt. Blake Fenwick,"",""
Science,M/Y Iron Gannet 170',M/Y Iron Gannet,my iron gannet,M/Y,170,"","","",Sage Sterling,"",""
Science,F/V Bright Horizon 170',F/V Bright Horizon,fv bright horizon,F/V,170,"","","",Jesse Dunmore | Cell: 555-0106 | Cell: 555-0123 | Cell: 555-0153 | Cell: 555-0126,"",""
Science,R/V High Sound 32',R/V High Sound,rv high sound,R/V,32,65,4,"",marley.garland@example.com,"",length_loa_mismatch
Science,R/V Coral Voyager 46',R/V Coral Voyager,rv coral voyager,R/V,46,"","",Open Water Sailing School,Logan Ellery | Cell: 555-0198,"",""
Science,S/V Clear Horizon 85',S/V Clear Horizon,sv clear horizon,S/V,85,"","",Bayline Charters,Sage Yardley | noel.kendrick@example.com | Cell: 555-0113 | Cell: 555-0103 | Capt. Emerson Fenwick,"",""
Science,S/V Wild Cove 120',S/V Wild Cove,sv wild cove,S/V,120,"","","",Capt. Parker Fenwick | reese.fairweather@example.com | Cell: 555-0199 | cameron.norwood@example.com | logan.garland@example.com,"",""
Science,R/V Coral Anchor 120',R/V Coral Anchor,rv coral anchor,R/V,120,"","","",Capt. Alex Thorne | Capt. Reese Lowell | Cell: 555-0115 | Cell: 555-0128 | noel.fenwick@example.com,No overnight crew,no_overnight_crew
Science,F/V Iron Beacon 100',F/V Iron Beacon,fv iron beacon,F/V,100,"","",Coastal Survey Partners,Cell: 555-0183 | Cell: 555-0122 | elliot.garland@example.com | Cell: 555-0146,Short visit only | Confirmed by marine ops,"short_visit,confirmed"
Science,S/V Bright Wind 72',S/V Bright Wind,sv bright wind,S/V,72,"","",Regional Fisheries Agency,Taylor Garland | Cell: 555-0149 | kendall.quill@example.com | Cell: 555-0121 | Capt. Logan Calloway,"",""
Science,R/V Deep Heron 46',R/V Deep Heron,rv deep heron,R/V,46,"","","",Casey Hollis,"",""
